
Total Student params = 223475
Configuration:
nbits=20, nbits_data=10, batch_sz=8, read_noise=0, num_epochs=600
Teacher Model: HDR_model (dim=32, num_blocks=[4, 4, 4, 4])
Student Model: Hybrid_Student_HDR (dim=8, num_blocks=[2, 2, 2, 1], num_refinement=2, heads=[1, 2, 4, 8])
Loss Weights: alpha=1, gamma=0.001



Epoch #223: Loss =       0.0692 		PSNR = 33.55	(Time: 36.020751)
Epoch #224: Loss =       0.0692 		PSNR = 33.56	(Time: 36.061822)
Epoch #225: Loss =       0.0692 		PSNR = 33.56	(Time: 36.036732)
Epoch #226: Loss =       0.0688 		PSNR = 33.61	(Time: 35.935804)
Epoch #227: Loss =       0.0688 		PSNR = 33.61	(Time: 36.032481)
Epoch #228: Loss =       0.0687 		PSNR = 33.61	(Time: 36.066146)
Epoch #229: Loss =       0.0687 		PSNR = 33.62	(Time: 35.442908)
Epoch #230: Loss =       0.0687 		PSNR = 33.62	(Time: 36.041789)
Epoch #231: Loss =       0.0688 		PSNR = 33.48	(Time: 35.850112)
Epoch #232: Loss =       0.0687 		PSNR = 33.49	(Time: 35.390796)
Epoch #233: Loss =       0.0687 		PSNR = 33.49	(Time: 36.060069)
Epoch #234: Loss =       0.0687 		PSNR = 33.49	(Time: 36.035471)
Epoch #235: Loss =       0.0687 		PSNR = 33.49	(Time: 36.081184)
Epoch #236: Loss =       0.0687 		PSNR = 33.53	(Time: 35.367672)
Epoch #237: Loss =       0.0687 		PSNR = 33.53	(Time: 36.092129)
Epoch #238: Loss =       0.0687 		PSNR = 33.53	(Time: 36.060253)
Epoch #239: Loss =       0.0687 		PSNR = 33.53	(Time: 36.119879)
Epoch #240: Loss =       0.0687 		PSNR = 33.53	(Time: 36.014509)
Epoch #241: Loss =       0.0685 		PSNR = 33.58	(Time: 35.986769)
Epoch #242: Loss =       0.0685 		PSNR = 33.58	(Time: 36.027716)
Epoch #243: Loss =       0.0685 		PSNR = 33.58	(Time: 36.080583)
Epoch #244: Loss =       0.0685 		PSNR = 33.58	(Time: 36.066657)
Epoch #245: Loss =       0.0684 		PSNR = 33.58	(Time: 35.468502)
Epoch #246: Loss =       0.0686 		PSNR = 33.52	(Time: 36.037713)
Epoch #247: Loss =       0.0686 		PSNR = 33.52	(Time: 36.060416)
Epoch #248: Loss =       0.0686 		PSNR = 33.52	(Time: 36.102102)
Epoch #249: Loss =       0.0685 		PSNR = 33.52	(Time: 35.461324)
Epoch #250: Loss =       0.0685 		PSNR = 33.52	(Time: 36.113841)
Epoch #251: Loss =       0.0687 		PSNR = 33.57	(Time: 36.048361)
Epoch #252: Loss =       0.0687 		PSNR = 33.56	(Time: 35.338814)
Epoch #253: Loss =       0.0687 		PSNR = 33.56	(Time: 36.055154)
Epoch #254: Loss =       0.0687 		PSNR = 33.56	(Time: 36.076222)
Epoch #255: Loss =       0.0687 		PSNR = 33.57	(Time: 36.062264)
Epoch #256: Loss =       0.0687 		PSNR = 33.55	(Time: 35.971730)
Epoch #257: Loss =       0.0686 		PSNR = 33.55	(Time: 36.053088)
Epoch #258: Loss =       0.0686 		PSNR = 33.55	(Time: 36.137841)
Epoch #259: Loss =       0.0686 		PSNR = 33.55	(Time: 36.071928)
Epoch #260: Loss =       0.0686 		PSNR = 33.55	(Time: 36.074797)
Epoch #261: Loss =       0.0681 		PSNR = 33.62	(Time: 36.014467)
Epoch #262: Loss =       0.0681 		PSNR = 33.62	(Time: 35.976006)
Epoch #263: Loss =       0.0681 		PSNR = 33.62	(Time: 36.120685)
Epoch #264: Loss =       0.0681 		PSNR = 33.62	(Time: 35.371527)
Epoch #265: Loss =       0.0681 		PSNR = 33.62	(Time: 36.108631)
Epoch #266: Loss =       0.0680 		PSNR = 33.62	(Time: 35.994655)
Epoch #267: Loss =       0.0680 		PSNR = 33.62	(Time: 35.405748)
Epoch #268: Loss =       0.0680 		PSNR = 33.62	(Time: 36.069697)
Epoch #269: Loss =       0.0680 		PSNR = 33.62	(Time: 36.127713)
Epoch #270: Loss =       0.0680 		PSNR = 33.62	(Time: 36.134314)
Epoch #271: Loss =       0.0682 		PSNR = 33.63	(Time: 35.967734)
Epoch #272: Loss =       0.0682 		PSNR = 33.63	(Time: 36.014315)
Epoch #273: Loss =       0.0682 		PSNR = 33.63	(Time: 36.104802)
Epoch #274: Loss =       0.0682 		PSNR = 33.63	(Time: 36.057005)
Epoch #275: Loss =       0.0682 		PSNR = 33.63	(Time: 36.098099)
Epoch #276: Loss =       0.0681 		PSNR = 33.69	(Time: 35.988896)
Epoch #277: Loss =       0.0681 		PSNR = 33.69	(Time: 36.070777)
Epoch #278: Loss =       0.0681 		PSNR = 33.69	(Time: 36.205568)
Epoch #279: Loss =       0.0681 		PSNR = 33.69	(Time: 35.973008)
Epoch #280: Loss =       0.0681 		PSNR = 33.69	(Time: 35.283789)
Epoch #281: Loss =       0.0681 		PSNR = 33.63	(Time: 35.967605)
Epoch #282: Loss =       0.0681 		PSNR = 33.63	(Time: 36.088478)
Epoch #283: Loss =       0.0681 		PSNR = 33.63	(Time: 35.353554)
Epoch #284: Loss =       0.0680 		PSNR = 33.63	(Time: 36.056738)
Epoch #285: Loss =       0.0680 		PSNR = 33.63	(Time: 36.144649)
Epoch #286: Loss =       0.0679 		PSNR = 33.67	(Time: 35.262799)
Epoch #287: Loss =       0.0679 		PSNR = 33.67	(Time: 36.073279)
Epoch #288: Loss =       0.0679 		PSNR = 33.67	(Time: 36.332937)
Epoch #289: Loss =       0.0679 		PSNR = 33.67	(Time: 36.125932)
Epoch #290: Loss =       0.0679 		PSNR = 33.67	(Time: 36.123871)
Epoch #291: Loss =       0.0680 		PSNR = 33.62	(Time: 35.893323)
Epoch #292: Loss =       0.0680 		PSNR = 33.62	(Time: 36.109286)
Epoch #293: Loss =       0.0680 		PSNR = 33.62	(Time: 36.141194)
Epoch #294: Loss =       0.0680 		PSNR = 33.62	(Time: 36.105325)
Epoch #295: Loss =       0.0680 		PSNR = 33.62	(Time: 35.274835)
Epoch #296: Loss =       0.0679 		PSNR = 33.64	(Time: 36.043293)
Epoch #297: Loss =       0.0679 		PSNR = 33.64	(Time: 36.184032)
Epoch #298: Loss =       0.0679 		PSNR = 33.64	(Time: 35.376325)
Epoch #299: Loss =       0.0679 		PSNR = 33.64	(Time: 36.083220)
Epoch #300: Loss =       0.0679 		PSNR = 33.64	(Time: 36.142061)
Epoch #301: Loss =       0.0685 		PSNR = 33.60	(Time: 35.244886)
Epoch #302: Loss =       0.0683 		PSNR = 33.61	(Time: 36.023648)
Epoch #303: Loss =       0.0682 		PSNR = 33.62	(Time: 36.160417)
Epoch #304: Loss =       0.0682 		PSNR = 33.62	(Time: 36.112901)
Epoch #305: Loss =       0.0681 		PSNR = 33.62	(Time: 36.178722)
Epoch #306: Loss =       0.0683 		PSNR = 33.58	(Time: 36.100173)
Epoch #307: Loss =       0.0682 		PSNR = 33.59	(Time: 36.209069)
Epoch #308: Loss =       0.0682 		PSNR = 33.59	(Time: 36.169978)
Epoch #309: Loss =       0.0683 		PSNR = 33.59	(Time: 36.133871)
Epoch #310: Loss =       0.0682 		PSNR = 33.60	(Time: 35.244256)
Epoch #311: Loss =       0.0681 		PSNR = 33.60	(Time: 35.981226)
Epoch #312: Loss =       0.0681 		PSNR = 33.60	(Time: 36.047870)
Epoch #313: Loss =       0.0681 		PSNR = 33.60	(Time: 35.315241)
Epoch #314: Loss =       0.0681 		PSNR = 33.61	(Time: 36.125414)
Epoch #315: Loss =       0.0681 		PSNR = 33.61	(Time: 36.158064)
Epoch #316: Loss =       0.0682 		PSNR = 33.59	(Time: 35.224244)
Epoch #317: Loss =       0.0682 		PSNR = 33.60	(Time: 36.120222)
Epoch #318: Loss =       0.0682 		PSNR = 33.60	(Time: 36.078565)
Epoch #319: Loss =       0.0682 		PSNR = 33.60	(Time: 36.132690)
Epoch #320: Loss =       0.0682 		PSNR = 33.60	(Time: 36.147365)
Epoch #321: Loss =       0.0677 		PSNR = 33.63	(Time: 35.997795)
Epoch #322: Loss =       0.0677 		PSNR = 33.63	(Time: 36.120042)
Epoch #323: Loss =       0.0677 		PSNR = 33.63	(Time: 36.117820)
Epoch #324: Loss =       0.0677 		PSNR = 33.63	(Time: 36.175236)
Epoch #325: Loss =       0.0676 		PSNR = 33.63	(Time: 35.269560)
